Chromosome	Start	End	GC_Content
Chr1	28500001	29000001	43.5826
Chr1	29000001	29500001	43.653
Chr1	29500001	30000001	43.5306
Chr1	30000001	30500001	43.4588
Chr1	30500001	31000001	43.6984
Chr1	31000001	31500001	50.2152
Chr1	31500001	32000001	47.192
Chr1	32000001	32500001	46.241
Chr1	32500001	33000001	45.969
Chr1	33000001	33500001	45.3442
Chr1	33500001	34000001	44.2044
Chr1	34000001	34500001	43.632
Chr1	34500001	35000001	43.6084
Chr1	35000001	35500001	44.8104
Chr1	35500001	36000001	44.724599999999995
Chr1	36000001	36500001	45.025999999999996
Chr1	36500001	37000001	44.6006
Chr1	37000001	37500001	44.71
Chr1	37500001	38000001	44.111200000000004
Chr1	38000001	38500001	43.9276
Chr1	38500001	39000001	43.506
Chr1	39000001	39500001	43.9176
Chr1	39500001	40000001	44.013000000000005
Chr1	40000001	40500001	44.0854
Chr1	40500001	41000001	43.6102
Chr1	41000001	41500001	43.8148
Chr1	41500001	42000001	43.6406
Chr1	42000001	42500001	42.2198
Chr1	42500001	43000001	42.842
Chr1	43000001	43500001	42.9424
Chr1	43500001	44000001	43.1132
Chr1	44000001	44500001	42.8036
Chr1	44500001	45000001	42.5072
Chr1	45000001	45500001	43.1958
Chr1	45500001	46000001	43.5908
Chr1	46000001	46500001	43.337599999999995
Chr1	46500001	47000001	43.400800000000004
Chr1	47000001	47500001	42.3408
Chr1	47500001	48000001	42.208800000000004
Chr1	48000001	48500001	43.3436
Chr1	48500001	49000001	43.0736
Chr1	49000001	49500001	43.038
Chr1	49500001	50000001	43.9094
Chr1	50000001	50500001	43.624
Chr1	50500001	51000001	43.154199999999996
Chr1	51000001	51500001	43.0446
Chr1	51500001	52000001	42.3216
Chr1	52000001	52500001	44.186
Chr1	52500001	53000001	41.778999999999996
Chr1	53000001	53500001	41.2634
Chr1	53500001	54000001	43.086999999999996
Chr1	54000001	54500001	43.029
Chr1	54500001	55000001	42.233599999999996
Chr1	55000001	55500001	43.5544
Chr1	55500001	56000001	42.4962
Chr1	56000001	56500001	42.242200000000004
Chr1	56500001	57000001	42.6
Chr1	57000001	57500001	43.132799999999996
Chr1	57500001	58000001	42.776199999999996
Chr1	58000001	58500001	42.6438
Chr1	58500001	59000001	42.8322
Chr1	59000001	59500001	41.788399999999996
Chr1	59500001	60000001	40.949600000000004
Chr1	60000001	60500001	41.8884
Chr1	60500001	61000001	43.0424
Chr1	61000001	61500001	43.162800000000004
Chr1	61500001	62000001	42.5456
Chr1	62000001	62500001	43.66
Chr1	62500001	63000001	42.3726
Chr1	63000001	63500001	42.6162
Chr1	63500001	64000001	43.553799999999995
Chr1	64000001	64500001	42.7192
Chr1	64500001	65000001	43.351600000000005
Chr1	65000001	65500001	42.0518
Chr1	65500001	66000001	43.2846
Chr1	66000001	66500001	43.2834
Chr1	66500001	67000001	42.9444
Chr1	67000001	67500001	42.379
Chr1	67500001	68000001	42.394999999999996
Chr1	68000001	68500001	43.5338
Chr1	68500001	69000001	43.4412
Chr1	69000001	69500001	43.5996
Chr1	69500001	70000001	42.9728
Chr1	70000001	70500001	42.3862
Chr1	70500001	71000001	41.5696
Chr1	71000001	71500001	42.0264
Chr1	71500001	72000001	43.5062
Chr1	72000001	72500001	43.8012
Chr1	72500001	73000001	43.880599999999994
Chr1	73000001	73500001	43.275200000000005
Chr1	73500001	74000001	43.3392
Chr1	74000001	74500001	41.488
Chr1	74500001	75000001	42.304
Chr1	75000001	75500001	41.815400000000004
Chr1	75500001	76000001	42.5388
Chr1	76000001	76500001	42.9934
Chr1	76500001	77000001	43.0312
Chr1	77000001	77500001	42.5392
Chr1	77500001	78000001	41.702600000000004
Chr1	78000001	78500001	42.1232
Chr1	78500001	79000001	42.282199999999996
Chr1	79000001	79500001	41.9494
Chr1	79500001	80000001	42.8536
Chr1	80000001	80500001	41.6864
Chr1	80500001	81000001	43.0834
Chr1	81000001	81500001	41.467999999999996
Chr1	81500001	82000001	42.1186
Chr1	82000001	82500001	42.6166
Chr1	82500001	83000001	42.810199999999995
Chr1	83000001	83500001	42.0014
Chr1	83500001	84000001	42.7118
Chr1	84000001	84500001	43.147000000000006
Chr1	84500001	85000001	42.7078
Chr1	85000001	85500001	43.2974
Chr1	85500001	86000001	42.6612
Chr1	86000001	86500001	42.7778
Chr1	86500001	87000001	42.2242
Chr1	87000001	87500001	42.7556
Chr1	87500001	88000001	42.9786
Chr1	88000001	88500001	42.2184
Chr1	88500001	89000001	43.318200000000004
Chr1	89000001	89500001	41.9668
Chr1	89500001	90000001	41.373599999999996
Chr1	90000001	90500001	42.423
Chr1	90500001	91000001	42.539
Chr1	91000001	91500001	43.032
Chr1	91500001	92000001	41.7104
Chr1	92000001	92500001	41.1308
Chr1	92500001	93000001	41.946
Chr1	93000001	93500001	41.999399999999994
Chr1	93500001	94000001	42.9482
Chr1	94000001	94500001	43.6996
Chr1	94500001	95000001	42.0402
Chr1	95000001	95500001	42.0524
Chr1	95500001	96000001	41.7988
Chr1	96000001	96500001	42.397600000000004
Chr1	96500001	97000001	41.593599999999995
Chr1	97000001	97500001	41.471999999999994
Chr1	97500001	98000001	42.233399999999996
Chr1	98000001	98500001	41.726600000000005
Chr1	98500001	99000001	41.2092
Chr1	99000001	99500001	41.867599999999996
Chr1	99500001	100000001	43.1766
Chr1	100000001	100500001	43.0662
Chr1	100500001	101000001	42.397
Chr1	101000001	101500001	42.591
Chr1	101500001	102000001	42.5884
Chr1	102000001	102500001	41.3638
Chr1	102500001	103000001	42.3592
Chr1	103000001	103500001	42.6834
Chr1	103500001	104000001	42.619
Chr1	104000001	104500001	42.5186
Chr1	104500001	105000001	42.0542
Chr1	105000001	105500001	41.987
Chr1	105500001	106000001	42.449999999999996
Chr1	106000001	106500001	41.2528
Chr1	106500001	107000001	42.964
Chr1	107000001	107500001	42.675200000000004
Chr1	107500001	108000001	42.0474
Chr1	108000001	108500001	41.6736
Chr1	108500001	109000001	43.007600000000004
Chr1	109000001	109500001	42.8548
Chr1	109500001	110000001	43.3268
Chr1	110000001	110500001	42.102000000000004
Chr1	110500001	111000001	42.1138
Chr1	111000001	111500001	43.095
Chr1	111500001	112000001	42.4722
Chr1	112000001	112500001	42.2862
Chr1	112500001	113000001	42.9314
Chr1	113000001	113500001	42.719
Chr1	113500001	114000001	41.7864
Chr1	114000001	114500001	42.6786
Chr1	114500001	115000001	42.115
Chr1	115000001	115500001	42.782399999999996
Chr1	115500001	116000001	42.0846
Chr1	116000001	116500001	42.202600000000004
Chr1	116500001	117000001	42.0674
Chr1	117000001	117500001	41.9576
Chr1	117500001	118000001	42.6098
Chr1	118000001	118500001	42.385600000000004
Chr1	118500001	119000001	41.6158
Chr1	119000001	119500001	42.229
Chr1	119500001	120000001	43.020399999999995
Chr1	120000001	120500001	42.4998
Chr1	120500001	121000001	41.867
Chr1	121000001	121500001	41.9392
Chr1	121500001	122000001	42.522999999999996
Chr1	122000001	122500001	42.3754
Chr1	122500001	123000001	41.8634
Chr1	123000001	123500001	42.931799999999996
Chr1	123500001	124000001	42.4758
Chr1	124000001	124500001	41.9594
Chr1	124500001	125000001	42.119800000000005
Chr1	125000001	125500001	42.9694
Chr1	125500001	126000001	42.7014
Chr1	126000001	126500001	42.3962
Chr1	126500001	127000001	42.5102
Chr1	127000001	127500001	41.782799999999995
Chr1	127500001	128000001	42.5348
Chr1	128000001	128500001	43.068
Chr1	128500001	129000001	42.5296
Chr1	129000001	129500001	42.5062
Chr1	129500001	130000001	42.849
Chr1	130000001	130500001	41.9676
Chr1	130500001	131000001	42.3918
Chr1	131000001	131500001	42.79
Chr1	131500001	132000001	42.0204
Chr1	132000001	132500001	42.5202
Chr1	132500001	133000001	41.769600000000004
Chr1	133000001	133500001	42.1124
Chr1	133500001	134000001	41.9884
Chr1	134000001	134500001	42.7798
Chr1	134500001	135000001	42.979800000000004
Chr1	135000001	135500001	42.4852
Chr1	135500001	136000001	42.6284
Chr1	136000001	136500001	42.8704
Chr1	136500001	137000001	43.4816
Chr1	137000001	137500001	42.364000000000004
Chr1	137500001	138000001	41.4068
Chr1	138000001	138500001	41.9824
Chr1	138500001	139000001	41.751599999999996
Chr1	139000001	139500001	42.6952
Chr1	139500001	140000001	42.477199999999996
Chr1	140000001	140500001	42.1782
Chr1	140500001	141000001	42.1774
Chr1	141000001	141500001	42.436800000000005
Chr1	141500001	142000001	42.516799999999996
Chr1	142000001	142500001	42.7342
Chr1	142500001	143000001	43.0388
Chr1	143000001	143500001	43.486799999999995
Chr1	143500001	144000001	42.382
Chr1	144000001	144500001	41.5646
Chr1	144500001	145000001	42.3864
Chr1	145000001	145500001	42.677
Chr1	145500001	146000001	43.064
Chr1	146000001	146500001	43.4636
Chr1	146500001	147000001	43.1016
Chr1	147000001	147500001	43.440400000000004
Chr1	147500001	148000001	41.7342
Chr1	148000001	148500001	43.19
Chr1	148500001	149000001	42.5248
Chr1	149000001	149500001	42.6654
Chr1	149500001	150000001	42.7806
Chr1	150000001	150500001	43.338
Chr1	150500001	151000001	43.025400000000005
Chr1	151000001	151500001	42.4616
Chr1	151500001	152000001	43.43
Chr1	152000001	152500001	42.5878
Chr1	152500001	153000001	42.6418
Chr1	153000001	153500001	43.1226
Chr1	153500001	154000001	42.7228
Chr1	154000001	154500001	43.3812
Chr1	154500001	155000001	42.516799999999996
Chr1	155000001	155500001	43.0342
Chr1	155500001	156000001	42.9402
Chr1	156000001	156500001	42.0904
Chr1	156500001	157000001	41.1928
Chr1	157000001	157500001	42.946200000000005
Chr1	157500001	158000001	42.809799999999996
Chr1	158000001	158500001	42.9094
Chr1	158500001	159000001	42.3462
Chr1	159000001	159500001	43.032
Chr1	159500001	160000001	43.0032
Chr1	160000001	160500001	42.376200000000004
Chr1	160500001	161000001	42.618
Chr1	161000001	161500001	41.696600000000004
Chr1	161500001	162000001	42.4514
Chr1	162000001	162500001	42.3216
Chr1	162500001	163000001	41.875800000000005
Chr1	163000001	163500001	43.2002
Chr1	163500001	164000001	43.4058
Chr1	164000001	164500001	43.191
Chr1	164500001	165000001	43.2106
Chr1	165000001	165500001	42.845
Chr1	165500001	166000001	41.666
Chr1	166000001	166500001	42.2324
Chr1	166500001	167000001	43.0302
Chr1	167000001	167500001	42.8346
Chr1	167500001	168000001	42.5762
Chr1	168000001	168500001	42.4768
Chr1	168500001	169000001	42.771
Chr1	169000001	169500001	41.8588
Chr1	169500001	170000001	43.4922
Chr1	170000001	170500001	41.4734
Chr1	170500001	171000001	43.004599999999996
Chr1	171000001	171500001	42.3468
Chr1	171500001	172000001	43.2236
Chr1	172000001	172500001	43.03
Chr1	172500001	173000001	42.965199999999996
Chr1	173000001	173500001	42.6438
Chr1	173500001	174000001	42.8632
Chr1	174000001	174500001	42.2368
Chr1	174500001	175000001	42.4998
Chr1	175000001	175500001	42.577
Chr1	175500001	176000001	42.6238
Chr1	176000001	176500001	41.916
Chr1	176500001	177000001	43.1634
Chr1	177000001	177500001	42.503
Chr1	177500001	178000001	43.137
Chr1	178000001	178500001	43.2376
Chr1	178500001	179000001	43.0524
Chr1	179000001	179500001	42.553200000000004
Chr1	179500001	180000001	42.980000000000004
Chr1	180000001	180500001	42.586600000000004
Chr1	180500001	181000001	43.403000000000006
Chr1	181000001	181500001	42.947
Chr1	181500001	182000001	42.416
Chr1	182000001	182500001	41.8344
Chr1	182500001	183000001	43.209399999999995
Chr1	183000001	183500001	42.3514
Chr1	183500001	184000001	42.998799999999996
Chr1	184000001	184500001	42.288399999999996
Chr1	184500001	185000001	41.477199999999996
Chr1	185000001	185500001	41.5826
Chr1	185500001	186000001	40.8874
Chr1	186000001	186500001	42.844
Chr1	186500001	187000001	41.1904
Chr1	187000001	187500001	42.137
Chr1	187500001	188000001	42.6214
Chr1	188000001	188500001	42.4124
Chr1	188500001	189000001	41.9078
Chr1	189000001	189500001	42.18
Chr1	189500001	190000001	42.3046
Chr1	190000001	190500001	41.8858
Chr1	190500001	191000001	41.7256
Chr1	191000001	191500001	41.5962
Chr1	191500001	192000001	41.1688
Chr1	192000001	192500001	42.3214
Chr1	192500001	193000001	42.8878
Chr1	193000001	193500001	43.7522
Chr1	193500001	194000001	43.1176
Chr1	194000001	194500001	42.465599999999995
Chr1	194500001	195000001	42.0796
Chr1	195000001	195500001	42.8594
Chr1	195500001	196000001	42.9896
Chr1	196000001	196500001	42.6084
Chr1	196500001	197000001	43.4578
Chr1	197000001	197500001	43.3178
Chr1	197500001	198000001	42.8428
Chr1	198000001	198500001	42.370400000000004
Chr1	198500001	199000001	42.202
Chr1	199000001	199500001	40.527
Chr1	199500001	200000001	42.0354
Chr1	200000001	200500001	42.274
Chr1	200500001	201000001	43.746
Chr1	201000001	201500001	42.3082
Chr1	201500001	202000001	42.0192
Chr1	202000001	202500001	41.8606
Chr1	202500001	203000001	41.9996
Chr1	203000001	203500001	42.9244
Chr1	203500001	204000001	42.686800000000005
Chr1	204000001	204500001	42.0034
Chr1	204500001	205000001	42.1526
Chr1	205000001	205500001	42.754
Chr1	205500001	206000001	42.9472
Chr1	206000001	206500001	42.629
Chr1	206500001	207000001	42.3892
Chr1	207000001	207500001	42.742000000000004
Chr1	207500001	208000001	42.0654
Chr1	208000001	208500001	42.9088
Chr1	208500001	209000001	42.6512
Chr1	209000001	209500001	42.4818
Chr1	209500001	210000001	41.791
Chr1	210000001	210500001	41.8866
Chr1	210500001	211000001	42.1298
Chr1	211000001	211500001	42.4052
Chr1	211500001	212000001	43.1044
Chr1	212000001	212500001	42.0822
Chr1	212500001	213000001	42.5564
Chr1	213000001	213500001	42.1528
Chr1	213500001	214000001	41.7392
Chr1	214000001	214500001	43.0748
Chr1	214500001	215000001	42.0236
Chr1	215000001	215500001	42.0698
Chr1	215500001	216000001	42.8666
Chr1	216000001	216500001	42.7382
Chr1	216500001	217000001	42.729800000000004
Chr1	217000001	217500001	41.985
Chr1	217500001	218000001	41.675000000000004
Chr1	218000001	218500001	42.1168
Chr1	218500001	219000001	42.2368
Chr1	219000001	219500001	41.6482
Chr1	219500001	220000001	41.951
Chr1	220000001	220500001	41.871199999999995
Chr1	220500001	221000001	42.4952
Chr1	221000001	221500001	41.8834
Chr1	221500001	222000001	42.024
Chr1	222000001	222500001	41.6024
Chr1	222500001	223000001	42.2292
Chr1	223000001	223500001	41.5392
Chr1	223500001	224000001	42.330400000000004
Chr1	224000001	224500001	41.9778
Chr1	224500001	225000001	42.5888
Chr1	225000001	225500001	42.5276
Chr1	225500001	226000001	43.1854
Chr1	226000001	226500001	42.0572
Chr1	226500001	227000001	42.65
Chr1	227000001	227500001	42.8764
Chr1	227500001	228000001	42.5002
Chr1	228000001	228500001	41.9576
Chr1	228500001	229000001	41.7132
Chr1	229000001	229500001	42.5462
Chr1	229500001	230000001	42.3208
Chr1	230000001	230500001	42.952400000000004
Chr1	230500001	231000001	42.0604
Chr1	231000001	231500001	43.3758
Chr1	231500001	232000001	42.8196
Chr1	232000001	232500001	43.4314
Chr1	232500001	233000001	43.242599999999996
Chr1	233000001	233500001	42.701
Chr1	233500001	234000001	43.5824
Chr1	234000001	234500001	42.8964
Chr1	234500001	235000001	43.919000000000004
Chr1	235000001	235500001	43.7994
Chr1	235500001	236000001	44.6674
Chr1	236000001	236500001	44.9312
Chr1	236500001	237000001	45.440000000000005
Chr1	237000001	237500001	44.9386
Chr1	237500001	238000001	43.2906
Chr1	238000001	238500001	44.3212
Chr1	238500001	239000001	44.303399999999996
Chr1	239000001	239500001	43.208
Chr1	239500001	240000001	44.6274
Chr1	240000001	240500001	43.5284
Chr1	240500001	241000001	43.3634
Chr1	241000001	241500001	44.114
Chr1	241500001	242000001	43.574
Chr1	242000001	242500001	43.4888
Chr1	242500001	243000001	44.674
Chr1	243000001	243500001	43.6926
Chr1	243500001	244000001	43.8694
Chr1	244000001	244500001	44.1346
Chr1	244500001	245000001	42.4004
Chr1	245000001	245500001	42.0502
Chr1	245500001	246000001	42.6596
Chr1	246000001	246500001	43.082
Chr1	246500001	247000001	42.5796
Chr1	247000001	247500001	42.353
Chr1	247500001	248000001	43.0164
Chr1	248000001	248500001	42.6718
Chr1	248500001	249000001	42.2254
Chr1	249000001	249500001	43.0426
Chr1	249500001	250000001	42.775999999999996
Chr1	250000001	250500001	43.7406
Chr1	250500001	251000001	41.6036
Chr1	251000001	251500001	43.0976
Chr1	251500001	252000001	42.613
Chr1	252000001	252500001	41.876799999999996
Chr1	252500001	253000001	42.2446
Chr1	253000001	253500001	41.416799999999995
Chr1	253500001	254000001	41.132200000000005
Chr1	254000001	254500001	41.4614
Chr1	254500001	255000001	42.6284
Chr1	255000001	255500001	42.253800000000005
Chr1	255500001	256000001	43.1996
Chr1	256000001	256500001	42.1946
Chr1	256500001	257000001	41.204
Chr1	257000001	257500001	42.1374
Chr1	257500001	258000001	42.8238
Chr1	258000001	258500001	41.9522
Chr1	258500001	259000001	41.044000000000004
Chr1	259000001	259500001	42.3874
Chr1	259500001	260000001	42.6636
Chr1	260000001	260500001	42.7894
Chr1	260500001	261000001	42.1168
Chr1	261000001	261500001	41.794399999999996
Chr1	261500001	262000001	42.2304
Chr1	262000001	262500001	41.4532
Chr1	262500001	263000001	41.847
Chr1	263000001	263500001	43.0842
Chr1	263500001	264000001	42.535000000000004
Chr1	264000001	264500001	42.532
Chr1	264500001	265000001	42.632799999999996
Chr1	265000001	265500001	42.247800000000005
Chr1	265500001	266000001	42.5056
Chr1	266000001	266500001	42.6806
Chr1	266500001	267000001	41.2188
Chr1	267000001	267500001	42.0294
Chr1	267500001	268000001	42.0486
Chr1	268000001	268500001	42.447
Chr1	268500001	269000001	42.8898
Chr1	269000001	269500001	42.373
Chr1	269500001	270000001	41.8174
Chr1	270000001	270500001	41.9456
Chr1	270500001	271000001	42.2022
Chr1	271000001	271500001	42.2734
Chr1	271500001	272000001	42.3558
Chr1	272000001	272500001	42.8446
Chr1	272500001	273000001	43.148399999999995
Chr1	273000001	273500001	43.3618
Chr1	273500001	274000001	42.7616
Chr1	274000001	274500001	42.2228
Chr1	274500001	275000001	43.092200000000005
Chr1	275000001	275500001	43.1824
Chr1	275500001	276000001	42.9484
Chr1	276000001	276500001	42.634
Chr1	276500001	277000001	43.0178
Chr1	277000001	277500001	44.1856
Chr1	277500001	278000001	42.9146
Chr1	278000001	278500001	43.4326
Chr1	278500001	279000001	42.6782
Chr1	279000001	279500001	42.6506
Chr1	279500001	280000001	42.7162
Chr1	280000001	280500001	42.753600000000006
Chr1	280500001	281000001	42.5002
Chr1	281000001	281500001	42.8044
Chr1	281500001	282000001	43.229
Chr1	282000001	282500001	43.5852
Chr1	282500001	283000001	43.2472
Chr1	283000001	283500001	42.8568
Chr1	283500001	284000001	43.8726
Chr1	284000001	284500001	42.370000000000005
Chr1	284500001	285000001	42.709599999999995
Chr1	285000001	285500001	42.1482
Chr1	285500001	286000001	43.2852
Chr1	286000001	286500001	43.4982
Chr1	286500001	287000001	43.6254
Chr1	287000001	287500001	43.7554
Chr1	287500001	288000001	44.034
Chr1	288000001	288500001	44.2948
Chr1	288500001	289000001	43.7226
Chr1	289000001	289500001	42.1518
Chr1	289500001	290000001	42.9664
Chr1	290000001	290500001	42.803999999999995
Chr1	290500001	291000001	41.862
Chr1	291000001	291500001	42.467
Chr1	291500001	292000001	42.971199999999996
Chr1	292000001	292500001	44.8346
Chr1	292500001	293000001	43.1488
Chr1	293000001	293500001	43.8974
Chr1	293500001	294000001	44.4874
Chr1	294000001	294500001	43.619
Chr1	294500001	295000001	43.4624
Chr1	295000001	295500001	44.1182
Chr1	295500001	296000001	42.7746
Chr1	296000001	296500001	44.0098
Chr1	296500001	297000001	45.0598
Chr1	297000001	297500001	45.5366
Chr1	297500001	298000001	47.4736
Chr1	298000001	298500001	47.2548
Chr1	298500001	299000001	48.4316
Chr1	299000001	299172356	47.067970177830645
Chr2	1	500001	54.5496
Chr2	500001	1000001	52.49700000000001
Chr2	1000001	1500001	50.391
Chr2	1500001	2000001	49.6946
Chr2	2000001	2500001	46.155
Chr2	2500001	3000001	46.1034
Chr2	3000001	3500001	44.8968
Chr2	3500001	4000001	45.4794
Chr2	4000001	4500001	45.2268
Chr2	4500001	5000001	45.094
Chr2	5000001	5500001	45.3664
Chr2	5500001	6000001	44.7358
Chr2	6000001	6500001	44.9922
Chr2	6500001	7000001	44.9562
Chr2	7000001	7500001	45.208
Chr2	7500001	8000001	44.2334
Chr2	8000001	8500001	43.901
Chr2	8500001	9000001	43.1774
Chr2	9000001	9500001	44.6596
Chr2	9500001	10000001	43.836000000000006
Chr2	10000001	10500001	43.1438
Chr2	10500001	11000001	43.7944
Chr2	11000001	11500001	41.6414
Chr2	11500001	12000001	42.9632
Chr2	12000001	12500001	43.3498
Chr2	12500001	13000001	42.6886
Chr2	13000001	13500001	43.1466
Chr2	13500001	14000001	43.0556
Chr2	14000001	14500001	42.626799999999996
Chr2	14500001	15000001	43.081399999999995
Chr2	15000001	15500001	42.2468
Chr2	15500001	16000001	41.611599999999996
Chr2	16000001	16500001	43.447599999999994
Chr2	16500001	17000001	43.0386
Chr2	17000001	17500001	43.1334
Chr2	17500001	18000001	43.992799999999995
Chr2	18000001	18500001	42.6972
Chr2	18500001	19000001	42.4206
Chr2	19000001	19500001	42.943
Chr2	19500001	20000001	43.0808
Chr2	20000001	20500001	42.9496
Chr2	20500001	21000001	41.821999999999996
Chr2	21000001	21500001	43.0098
Chr2	21500001	22000001	42.5844
Chr2	22000001	22500001	42.4268
Chr2	22500001	23000001	42.737
Chr2	23000001	23500001	42.809799999999996
Chr2	23500001	24000001	42.4012
Chr2	24000001	24500001	42.0612
Chr2	24500001	25000001	43.145
Chr2	25000001	25500001	42.2406
Chr2	25500001	26000001	41.3314
Chr2	26000001	26500001	42.1068
Chr2	26500001	27000001	42.797200000000004
Chr2	27000001	27500001	42.4148
Chr2	27500001	28000001	42.4156
Chr2	28000001	28500001	42.5698
Chr2	28500001	29000001	42.126400000000004
Chr2	29000001	29500001	42.1396
Chr2	29500001	30000001	43.0668
Chr2	30000001	30500001	43.0352
Chr2	30500001	31000001	42.065200000000004
Chr2	31000001	31500001	42.0142
Chr2	31500001	32000001	41.3942
Chr2	32000001	32500001	42.203
Chr2	32500001	33000001	42.352000000000004
Chr2	33000001	33500001	42.4398
Chr2	33500001	34000001	42.564800000000005
Chr2	34000001	34500001	42.611
Chr2	34500001	35000001	42.5466
Chr2	35000001	35500001	42.0406
Chr2	35500001	36000001	42.9174
Chr2	36000001	36500001	41.4738
Chr2	36500001	37000001	41.8706
Chr2	37000001	37500001	42.0152
Chr2	37500001	38000001	41.7116
Chr2	38000001	38500001	40.7008
Chr2	38500001	39000001	42.5712
Chr2	39000001	39500001	41.8324
Chr2	39500001	40000001	43.3558
Chr2	40000001	40500001	42.754
Chr2	40500001	41000001	42.7868
Chr2	41000001	41500001	41.592
Chr2	41500001	42000001	42.2652
Chr2	42000001	42500001	42.159400000000005
Chr2	42500001	43000001	41.9062
Chr2	43000001	43500001	41.4676
Chr2	43500001	44000001	41.0562
Chr2	44000001	44500001	42.4964
Chr2	44500001	45000001	42.742599999999996
Chr2	45000001	45500001	42.934
Chr2	45500001	46000001	41.925200000000004
Chr2	46000001	46500001	42.172599999999996
Chr2	46500001	47000001	42.693599999999996
Chr2	47000001	47500001	42.038
Chr2	47500001	48000001	42.3686
Chr2	48000001	48500001	42.1382
Chr2	48500001	49000001	41.7184
Chr2	49000001	49500001	42.5688
Chr2	49500001	50000001	41.9454
Chr2	50000001	50500001	41.36
Chr2	50500001	51000001	42.2366
Chr2	51000001	51500001	42.3292
Chr2	51500001	52000001	42.0814
Chr2	52000001	52500001	42.6254
Chr2	52500001	53000001	41.6646
Chr2	53000001	53500001	42.157
Chr2	53500001	54000001	42.071999999999996
Chr2	54000001	54500001	42.7632
Chr2	54500001	55000001	43.038399999999996
Chr2	55000001	55500001	42.8234
Chr2	55500001	56000001	42.4936
Chr2	56000001	56500001	41.922599999999996
Chr2	56500001	57000001	42.4068
Chr2	57000001	57500001	42.331
Chr2	57500001	58000001	42.006
Chr2	58000001	58500001	42.1312
Chr2	58500001	59000001	42.337799999999994
Chr2	59000001	59500001	42.4204
Chr2	59500001	60000001	42.0278
Chr2	60000001	60500001	42.501400000000004
Chr2	60500001	61000001	42.9966
Chr2	61000001	61500001	42.122
Chr2	61500001	62000001	42.7268
Chr2	62000001	62500001	42.168
Chr2	62500001	63000001	42.314800000000005
Chr2	63000001	63500001	42.1564
Chr2	63500001	64000001	42.5176
Chr2	64000001	64500001	42.3248
Chr2	64500001	65000001	42.4662
Chr2	65000001	65500001	42.1944
Chr2	65500001	66000001	41.8276
Chr2	66000001	66500001	43.526199999999996
Chr2	66500001	67000001	41.708800000000004
Chr2	67000001	67500001	42.552800000000005
Chr2	67500001	68000001	42.2014
Chr2	68000001	68500001	42.037600000000005
Chr2	68500001	69000001	42.7004
Chr2	69000001	69500001	40.6422
Chr2	69500001	70000001	41.6208
Chr2	70000001	70500001	41.946600000000004
Chr2	70500001	71000001	42.6302
Chr2	71000001	71500001	42.571999999999996
Chr2	71500001	72000001	41.9088
Chr2	72000001	72500001	42.0988
Chr2	72500001	73000001	41.3802
Chr2	73000001	73500001	41.6438
Chr2	73500001	74000001	41.7842
Chr2	74000001	74500001	42.2988
Chr2	74500001	75000001	41.402
Chr2	75000001	75500001	42.349199999999996
Chr2	75500001	76000001	43.1552
Chr2	76000001	76500001	42.4626
Chr2	76500001	77000001	42.975
Chr2	77000001	77500001	43.0216
Chr2	77500001	78000001	42.8448
Chr2	78000001	78500001	42.5604
Chr2	78500001	79000001	43.4166
Chr2	79000001	79500001	43.811
