Chromosome,Start,End,Feature
Chr11,2473426,2473686,CDS
Chr11,2474492,2474650,CDS
Chr11,2475609,2475728,CDS
Chr11,2476394,2476588,CDS
Chr11,2477885,2478358,CDS
Chr11,18304646,18304741,CDS
Chr11,18307221,18307328,CDS
Chr11,18313822,18314031,CDS
Chr11,9639831,9639977,CDS
Chr11,9639306,9639500,CDS
Chr11,18978537,18978737,CDS
Chr11,19037251,19037364,CDS
Chr11,18203200,18203253,CDS
Chr11,18241612,18241791,CDS
Chr11,18347260,18347457,CDS
Chr11,17404068,17404169,CDS
Chr11,17391637,17391675,CDS
Chr11,1757873,1757998,CDS
Chr11,1712575,1712874,CDS
Chr11,11588347,11588526,CDS
Chr11,11586557,11586760,CDS
Chr11,11563337,11563492,CDS
Chr11,11557421,11557471,CDS
Chr11,11553844,11553882,CDS
Chr11,11551501,11551584,CDS
Chr11,2520075,2520323,CDS
Chr11,2521124,2521411,CDS
Chr11,2525090,2525215,CDS
Chr11,2526047,2526346,CDS
Chr11,2526862,2527002,CDS
Chr11,2527116,2527334,CDS
Chr11,227584,227652,CDS
Chr11,227291,227392,CDS
Chr11,224524,224664,CDS
Chr11,223694,223861,CDS
Chr11,223220,223372,CDS
Chr11,222669,222824,CDS
Chr11,13860597,13860680,CDS
Chr11,13801082,13801159,CDS
Chr11,13707590,13707682,CDS
Chr11,18313642,18313722,CDS
Chr11,18317067,18317264,CDS
Chr11,11602090,11602233,CDS
Chr11,11562923,11562958,CDS
Chr11,11469884,11469937,CDS
Chr11,11449724,11449759,CDS
Chr11,294861,295025,CDS
Chr11,295549,295596,CDS
Chr11,295857,295913,CDS
Chr11,3046521,3046634,CDS
Chr11,3138158,3138190,CDS
Chr11,19561652,19561741,CDS
Chr11,19644218,19644373,CDS
Chr11,429022,429921,CDS
Chr11,526546,526662,CDS
Chr11,16285706,16285846,CDS
Chr11,16177420,16177518,CDS
Chr11,17071397,17071441,CDS
Chr11,17083698,17083793,CDS
Chr11,3779491,3779607,CDS
Chr11,3783261,3783431,CDS
Chr11,16173312,16173434,CDS
Chr11,16172801,16172902,CDS
Chr11,16171871,16171993,CDS
Chr11,16171149,16171232,CDS
Chr11,16169564,16169614,CDS
Chr11,16168551,16168634,CDS
Chr11,236837,236962,CDS
Chr11,237056,237232,CDS
Chr11,237586,237750,CDS
Chr11,238034,238210,CDS
Chr11,239964,240518,CDS
Chr11,9542744,9542788,CDS
Chr11,9452982,9453284,CDS
Chr11,10797065,10797283,CDS
Chr11,10795689,10795838,CDS
Chr11,10794058,10794219,CDS
Chr11,10793407,10793511,CDS
Chr11,10792297,10792437,CDS
Chr11,10792074,10792166,CDS
Chr11,10791067,10791123,CDS
Chr11,6793226,6793426,CDS
Chr11,6792167,6792445,CDS
Chr11,6791479,6791610,CDS
Chr11,6789895,6790035,CDS
Chr11,4925670,4925777,CDS
Chr11,4924447,4924593,CDS
Chr11,4923591,4923794,CDS
Chr11,4921815,4921913,CDS
Chr11,4507099,4507368,CDS
Chr11,4432859,4433086,CDS
Chr11,18113416,18113475,CDS
Chr11,18150265,18150375,CDS
Chr11,17886963,17887019,CDS
Chr11,17903310,17904272,CDS
Chr11,13128027,13128083,CDS
Chr11,13176025,13176369,CDS
Chr11,448566,448610,CDS
Chr11,556400,556657,CDS
Chr11,557027,557374,CDS
Chr11,14648702,14648836,CDS
Chr11,14732486,14732572,CDS
Chr11,1158138,1158302,CDS
Chr11,1169933,1170079,CDS
Chr11,6740251,6740646,CDS
Chr11,6746332,6746376,CDS
Chr11,13337018,13337356,CDS
Chr11,13332959,13333546,CDS
Chr11,4744424,4744510,CDS
Chr11,4706352,4706468,CDS
Chr11,4602525,4602611,CDS
Chr11,3775354,3775530,CDS
Chr11,3783255,3783431,CDS
Chr11,7548400,7548453,CDS
Chr11,7608816,7608989,CDS
Chr11,21718351,21719169,CDS
Chr11,21679482,21679601,CDS
Chr11,7986962,7987045,CDS
Chr11,7930854,7930871,CDS
Chr11,11598110,11598187,CDS
Chr11,11633557,11633652,CDS
Chr11,21056846,21056914,CDS
Chr11,21057647,21057787,CDS
Chr11,21059193,21059306,CDS
Chr11,21061337,21061549,CDS
Chr11,21063663,21063860,CDS
Chr11,21070003,21070980,CDS
Chr11,14618056,14619141,CDS
Chr11,10851486,10851611,CDS
Chr11,10853227,10853415,CDS
Chr11,10854698,10854850,CDS
Chr11,10856815,10857009,CDS
Chr11,10857721,10857828,CDS
Chr11,10858964,10859098,CDS
Chr11,20836595,20837632,CDS
Chr11,20843936,20844064,CDS
Chr11,20847327,20848937,CDS
Chr11,13596257,13596328,CDS
Chr11,13555087,13555254,CDS
Chr11,15139178,15139207,CDS
Chr11,15184917,15185135,CDS
Chr11,17307304,17307411,CDS
Chr11,17433908,17434006,CDS
Chr11,19012820,19012891,CDS
Chr11,19105165,19105398,CDS
Chr11,4870128,4870175,CDS
Chr11,4844921,4845127,CDS
Chr11,19344720,19344884,CDS
Chr11,19356706,19356834,CDS
Chr11,9899980,9900261,CDS
Chr11,17229318,17229398,CDS
Chr11,17230235,17230327,CDS
Chr11,17232128,17232241,CDS
Chr11,17232856,17232945,CDS
Chr11,17233836,17233931,CDS
Chr11,17234748,17234795,CDS
Chr11,17235897,17235986,CDS
Chr11,17237131,17237235,CDS
Chr11,17237442,17237741,CDS
Chr11,4070659,4070832,CDS
Chr11,4071504,4071647,CDS
Chr11,4072242,4072400,CDS
Chr11,4072675,4072839,CDS
Chr11,18310835,18311023,CDS
Chr11,18319221,18319298,CDS
Chr11,11218935,11219150,CDS
Chr11,11218548,11218676,CDS
Chr11,2525090,2525257,CDS
Chr11,2526477,2526665,CDS
Chr11,2526865,2527002,CDS
Chr11,2527116,2527328,CDS
Chr11,2527819,2528019,CDS
Chr11,2528981,2529040,CDS
Chr11,2548012,2548257,CDS
Chr11,2491803,2492045,CDS
Chr11,2501184,2501300,CDS
Chr11,2501911,2502048,CDS
Chr11,2502665,2502811,CDS
Chr11,2503167,2503310,CDS
Chr11,2504022,2504168,CDS
Chr11,2504729,2504797,CDS
Chr11,2505138,2505302,CDS
Chr11,2505995,2506096,CDS
Chr11,2506398,2506559,CDS
Chr11,2506726,2506848,CDS
Chr11,2507340,2507552,CDS
Chr11,20971436,20971591,CDS
Chr11,20872980,20873021,CDS
Chr11,20760069,20760125,CDS
Chr11,2516881,2517249,CDS
Chr11,2517651,2519063,CDS
Chr11,11637338,11637475,CDS
Chr11,11511497,11511541,CDS
Chr11,18495389,18495700,CDS
Chr11,20326869,20326922,CDS
Chr11,20203217,20203393,CDS
Chr11,74229,74372,CDS
Chr11,71420,73027,CDS
Chr11,69291,69470,CDS
Chr11,66930,67004,CDS
Chr11,65482,65544,CDS
Chr11,54498,54623,CDS
Chr11,54195,54326,CDS
Chr11,52032,52172,CDS
Chr11,50506,50727,CDS
Chr11,50155,50268,CDS
Chr11,48681,49076,CDS
Chr11,45910,46056,CDS
Chr11,6792816,6792845,CDS
Chr11,6878464,6878673,CDS
Chr11,10006727,10006789,CDS
Chr11,10004168,10004242,CDS
Chr11,5203262,5203324,CDS
Chr11,5131654,5131740,CDS
Chr11,20868074,20868865,CDS
Chr11,20863294,20863425,CDS
Chr11,10310897,10310935,CDS
Chr11,10371044,10371172,CDS
Chr11,522981,523040,CDS
Chr11,523761,523826,CDS
Chr11,524115,524168,CDS
Chr11,524258,524311,CDS
Chr11,524902,524979,CDS
Chr11,525270,525353,CDS
Chr11,526024,526092,CDS
Chr11,526643,526759,CDS
Chr11,527019,527054,CDS
Chr11,527346,527471,CDS
Chr11,527582,527638,CDS
Chr11,528180,528260,CDS
Chr11,528504,528668,CDS
Chr11,16040587,16040685,CDS
Chr11,16140431,16140511,CDS
Chr11,18622213,18622488,CDS
Chr11,18589502,18589558,CDS
Chr11,18537936,18537971,CDS
Chr11,20823084,20823200,CDS
Chr11,20952770,20952841,CDS
Chr11,9577435,9577560,CDS
Chr11,9541545,9541703,CDS
Chr11,7002753,7003013,CDS
Chr11,7000269,7000448,CDS
Chr11,6999194,6999331,CDS
Chr11,13681095,13681148,CDS
Chr11,13641624,13641740,CDS
Chr11,13632447,13632587,CDS
Chr11,13630725,13630811,CDS
Chr11,13625990,13626214,CDS
Chr11,13624465,13624644,CDS
Chr11,13623668,13623706,CDS
Chr11,13621866,13621952,CDS
Chr11,13620530,13620742,CDS
Chr11,13612831,13613007,CDS
Chr11,13612204,13612329,CDS
Chr11,18311851,18312216,CDS
Chr11,18316998,18317270,CDS
Chr11,255120,255248,CDS
Chr11,256144,256290,CDS
Chr11,257129,257266,CDS
Chr11,18518093,18518125,CDS
Chr11,18533771,18533881,CDS
Chr11,18535152,18535271,CDS
Chr11,15372214,15372309,CDS
Chr11,15380647,15380913,CDS
Chr11,1711846,1712838,CDS
Chr12,13097216,13097281,CDS
Chr12,13176672,13176728,CDS
Chr12,16862355,16862936,CDS
Chr12,12358148,12358225,CDS
Chr12,12354655,12354849,CDS
Chr12,4084211,4084264,CDS
Chr12,4210148,4211017,CDS
Chr12,6753388,6755475,CDS
Chr12,11845233,11845613,CDS
Chr12,11861847,11862032,CDS
Chr12,11869720,11869827,CDS
Chr12,11168205,11168330,CDS
Chr12,11169914,11170126,CDS
Chr12,11171508,11171660,CDS
Chr12,11173611,11173799,CDS
Chr12,11177260,11177376,CDS
Chr12,11178115,11178177,CDS
Chr12,11178451,11178612,CDS
Chr12,11180698,11180826,CDS
Chr12,15203696,15203803,CDS
Chr12,15202756,15202803,CDS
Chr12,15202020,15202307,CDS
Chr12,15200759,15201052,CDS
Chr12,3280492,3280734,CDS
Chr12,3277525,3277947,CDS
Chr12,13485408,13485458,CDS
Chr12,13549577,13549648,CDS
Chr12,13574088,13574171,CDS
Chr12,5671183,5671926,CDS
Chr12,5477792,5477836,CDS
Chr12,5431590,5431694,CDS
Chr12,85527,85601,CDS
Chr12,99447,100409,CDS
Chr12,11239796,11241616,CDS
Chr12,9061184,9061309,CDS
Chr12,9168197,9168289,CDS
Chr12,9274139,9274177,CDS
Chr12,9307344,9307397,CDS
Chr12,928158,928244,CDS
Chr12,921828,921923,CDS
Chr12,920657,920953,CDS
Chr12,919413,919562,CDS
Chr12,918946,919041,CDS
Chr12,918274,918447,CDS
Chr12,917445,917639,CDS
Chr12,915834,916076,CDS
Chr12,915140,915295,CDS
Chr12,13625773,13625844,CDS
Chr12,13691165,13691299,CDS
Chr12,1843043,1843108,CDS
Chr12,1823592,1824455,CDS
Chr12,15880490,15880555,CDS
Chr12,15825333,15825494,CDS
Chr12,15112674,15112760,CDS
Chr12,15008388,15008468,CDS
Chr12,16592325,16592387,CDS
Chr12,16532211,16532510,CDS
Chr12,15997016,15997120,CDS
Chr12,16071762,16071932,CDS
Chr12,17115344,17115385,CDS
Chr12,17114031,17114423,CDS
Chr12,16399243,16399428,CDS
Chr12,16476124,16476192,CDS
Chr12,853886,854185,CDS
Chr12,959619,959684,CDS
Chr12,14294213,14294287,CDS
Chr12,14380987,14381184,CDS
Chr12,4302269,4302373,CDS
Chr12,4300859,4301008,CDS
Chr12,4300168,4300275,CDS
Chr12,4299304,4299348,CDS
Chr12,4298852,4298923,CDS
Chr12,4298342,4298383,CDS
Chr12,10153784,10153975,CDS
Chr12,10073827,10073916,CDS
Chr12,10090886,10091002,CDS
Chr12,9994908,9994967,CDS
Chr12,17451045,17451257,CDS
Chr12,17451829,17451987,CDS
Chr12,17461662,17461709,CDS
Chr12,4189493,4190329,CDS
Chr12,1214086,1214124,CDS
Chr12,1236871,1237275,CDS
Chr12,2726794,2726850,CDS
Chr12,2631622,2631798,CDS
Chr12,4441132,4441371,CDS
Chr12,109225,110592,CDS
Chr12,9521781,9521972,CDS
Chr12,9488570,9488767,CDS
Chr12,2987891,2988022,CDS
Chr12,2987608,2987706,CDS
Chr12,2987079,2987306,CDS
Chr12,2985673,2985786,CDS
Chr12,2984922,2985092,CDS
Chr12,2984424,2984504,CDS
Chr12,3148598,3148885,CDS
Chr12,3149017,3149268,CDS
Chr12,13702669,13704342,CDS
Chr12,11202479,11202574,CDS
Chr12,11199490,11199621,CDS
Chr12,11197524,11197706,CDS
Chr12,11193882,11193950,CDS
Chr12,11192017,11192163,CDS
Chr12,6371801,6372508,CDS
Chr12,6338258,6338290,CDS
Chr12,16276664,16277692,CDS
Chr12,14018456,14019934,CDS
Chr12,4987442,4987984,CDS
Chr12,4990677,4990829,CDS
Chr12,4991335,4991484,CDS
Chr12,4993807,4994019,CDS
Chr12,4999285,5000457,CDS
Chr12,4864858,4864965,CDS
Chr12,4915363,4915524,CDS
Chr12,14607307,14607414,CDS
Chr12,14605774,14606247,CDS
Chr12,7967546,7967701,CDS
Chr12,7911659,7911778,CDS
Chr12,4221047,4221955,CDS
Chr12,17416697,17417032,CDS
Chr12,17416062,17416187,CDS
Chr12,17243696,17244640,CDS
Chr12,17210698,17210886,CDS
Chr12,16708851,16708949,CDS
Chr12,16707564,16707707,CDS
Chr12,16707120,16707299,CDS
Chr12,16705199,16705282,CDS
Chr12,16703102,16703224,CDS
Chr12,16689869,16690063,CDS
Chr12,16688811,16689041,CDS
Chr12,16688194,16688295,CDS
Chr12,16687934,16688044,CDS
Chr12,16687560,16687754,CDS
Chr12,16686253,16686339,CDS
Chr12,4182744,4182791,CDS
Chr12,4142065,4142985,CDS
Chr12,6336579,6336824,CDS
Chr12,6341984,6342316,CDS
Chr12,17152167,17152361,CDS
Chr12,17070164,17070220,CDS
Chr12,14362749,14362790,CDS
Chr12,14350544,14350600,CDS
Chr12,14335165,14335413,CDS
Chr12,15400004,15400132,CDS
Chr12,15403106,15403159,CDS
Chr12,15403723,15403773,CDS
Chr12,15404083,15404229,CDS
Chr12,15405316,15405396,CDS
Chr12,15407081,15407152,CDS
Chr12,15407893,15407976,CDS
Chr12,3160332,3160454,CDS
Chr12,3161197,3161295,CDS
Chr12,3161873,3162040,CDS
Chr12,1493920,1494018,CDS
Chr12,1496612,1496707,CDS
Chr12,1497039,1497155,CDS
Chr12,1498234,1498296,CDS
Chr12,1498401,1498433,CDS
Chr12,1499607,1499726,CDS
Chr12,1500122,1500250,CDS
Chr12,1500516,1500641,CDS
Chr12,1500899,1501003,CDS
Chr12,11412622,11412762,CDS
Chr12,11409274,11409729,CDS
Chr12,11409038,11409208,CDS
Chr12,5441237,5441269,CDS
Chr12,5442658,5442780,CDS
Chr12,5443442,5443552,CDS
Chr12,16674607,16674708,CDS
Chr12,16612088,16612216,CDS
Chr12,15244698,15244799,CDS
Chr12,15245568,15245648,CDS
Chr12,15246788,15246952,CDS
Chr12,15248990,15249100,CDS
Chr12,15252625,15252726,CDS
Chr12,15254965,15255093,CDS
Chr12,15256387,15256554,CDS
Chr12,15258299,15258526,CDS
Chr12,15264415,15264594,CDS
Chr12,15265651,15265755,CDS
Chr12,15266935,15266988,CDS
Chr12,15267783,15267965,CDS
Chr12,15268724,15269020,CDS
Chr12,897258,897416,CDS
Chr12,897864,897971,CDS
Chr12,898505,898645,CDS
Chr12,12646180,12646242,CDS
Chr12,12521977,12522018,CDS
Chr12,16268460,16269320,CDS
Chr12,16220046,16220087,CDS
Chr12,5423387,5423524,CDS
Chr12,5424324,5424392,CDS
Chr12,5425972,5426040,CDS
Chr12,5426568,5426639,CDS
Chr12,5427976,5428062,CDS
Chr12,7693527,7693628,CDS
Chr12,7571996,7572052,CDS
Chr12,1742074,1742523,CDS
Chr12,6059016,6059273,CDS
Chr12,6055705,6055755,CDS
Chr12,906863,907030,CDS
Chr12,906471,906596,CDS
Chr12,905770,905898,CDS
Chr12,904999,905112,CDS
Chr12,6447458,6447721,CDS
Chr12,1318060,1318167,CDS
Chr12,1316137,1316625,CDS
Chr12,1314966,1315688,CDS
Chr12,1314381,1314509,CDS
Chr12,1313747,1313911,CDS
Chr12,1313024,1313182,CDS
Chr12,1312159,1312386,CDS
Chr12,1311507,1311770,CDS
Chr12,1310272,1310454,CDS
Chr12,1309742,1309876,CDS
Chr12,1308706,1308957,CDS
Chr12,1308034,1308249,CDS
Chr12,1307167,1307313,CDS
Chr12,1306547,1306642,CDS
Chr12,1295806,1295859,CDS
Chr12,1295167,1295322,CDS
Chr12,1294913,1295059,CDS
Chr12,1292090,1292215,CDS
Chr12,1290498,1290671,CDS
Chr12,1290195,1290395,CDS
Chr12,1289596,1289694,CDS
Chr12,1289031,1289066,CDS
Chr12,13000234,13000293,CDS
Chr12,13043123,13043422,CDS
Chr12,4268588,4268683,CDS
Chr12,4271882,4271983,CDS
Chr12,4273773,4273943,CDS
Chr12,4274602,4274769,CDS
Chr12,4275920,4275976,CDS
Chr12,12192899,12193027,CDS
Chr12,12204863,12204991,CDS
Chr12,12207221,12207520,CDS
Chr12,12209251,12209460,CDS
Chr12,12211251,12211418,CDS
Chr12,12215941,12216093,CDS
Chr12,12217037,12217306,CDS
Chr12,12220266,12220556,CDS
Chr12,12221858,12221959,CDS
Chr12,12224029,12224286,CDS
Chr12,12226881,12226985,CDS
Chr12,12228603,12228713,CDS
Chr12,12229260,12229655,CDS
Chr12,4077546,4078127,CDS
Chr12,4080064,4080171,CDS
Chr12,6214514,6214690,CDS
Chr12,6098091,6098183,CDS
Chr12,3053414,3053449,CDS
Chr12,3161659,3161790,CDS
Chr12,3162192,3162341,CDS
Chr12,16112555,16112605,CDS
Chr12,16103488,16103616,CDS
Chr12,17304669,17304755,CDS
Chr12,17349876,17349911,CDS
Chr12,17454597,17454959,CDS
Chr12,4425862,4426026,CDS
Chr12,4426258,4426365,CDS
Chr12,4433609,4433770,CDS
Chr12,4435356,4435466,CDS
Chr12,4436126,4436221,CDS
Chr12,4437632,4437769,CDS
Chr12,6592568,6592750,CDS
Chr12,6599727,6600401,CDS
Chr12,6610362,6610466,CDS
Chr12,6611169,6611270,CDS
Chr12,6615961,6616056,CDS
Chr12,6616512,6616742,CDS
Chr12,6616871,6617038,CDS
Chr12,6618458,6618610,CDS
Chr12,6619052,6619168,CDS
Chr12,6619395,6619517,CDS
Chr12,10450149,10450391,CDS
Chr12,10447726,10447911,CDS
Chr12,10440929,10441135,CDS
Chr12,10440313,10440507,CDS
Chr12,16025467,16025547,CDS
Chr12,15992354,15992401,CDS
Chr12,2260342,2261163,CDS
Chr12,2259733,2259861,CDS
Chr12,11254759,11254854,CDS
Chr12,11255472,11255546,CDS
Chr12,11258363,11258479,CDS
Chr12,11259876,11259950,CDS
Chr12,11260182,11260334,CDS
Chr12,8803123,8803167,CDS
Chr12,8891944,8892069,CDS
Chr12,15192911,15193216,CDS
Chr12,15191556,15191951,CDS
Chr12,198380,198406,CDS
Chr12,135669,135854,CDS
Chr12,15993279,15993395,CDS
Chr12,15991904,15992065,CDS
Chr12,15990867,15991013,CDS
Chr12,15989643,15989738,CDS
Chr12,15989047,15989121,CDS
Chr12,1409971,1410075,CDS
Chr12,1405757,1405933,CDS
Chr12,5921844,5921909,CDS
Chr12,6012921,6013145,CDS
Chr12,17352212,17352814,CDS
Chr12,3168641,3168805,CDS
Chr12,3166896,3167084,CDS
Chr12,3166473,3166631,CDS
Chr12,3165637,3165744,CDS
Chr12,3164984,3165121,CDS
Chr12,16839962,16840033,CDS
Chr12,16969237,16969317,CDS
Chr12,3902458,3902520,CDS
Chr12,3910476,3910550,CDS
Chr12,17462976,17463074,CDS
Chr12,17463395,17463502,CDS
Chr12,17463681,17465003,CDS
Chr12,16949954,16950001,CDS
Chr12,16911028,16911156,CDS
Chr12,16844666,16844743,CDS
Chr12,9421249,9421701,CDS
Chr12,9355341,9357098,CDS
Chr13,15886740,15886892,CDS
Chr13,15931084,15931140,CDS
Chr13,3818990,3819235,CDS
Chr13,3821186,3821299,CDS
Chr13,3822036,3822137,CDS
Chr13,3822698,3822829,CDS
Chr13,3824357,3824416,CDS
Chr13,4215363,4215401,CDS
Chr13,4197298,4197345,CDS
Chr13,4075813,4075929,CDS
Chr13,10315779,10315892,CDS
Chr13,10312699,10312917,CDS
Chr13,10311313,10312221,CDS
Chr13,9187937,9188002,CDS
Chr13,9165053,9165124,CDS
Chr13,14356526,14356567,CDS
Chr13,14412640,14412711,CDS
Chr13,7554491,7556047,CDS
Chr13,14156921,14157697,CDS
Chr13,3803057,3803221,CDS
Chr13,3803563,3803688,CDS
Chr13,3805395,3805538,CDS
Chr13,3806144,3806266,CDS
Chr13,3807228,3807356,CDS
Chr13,3807920,3808087,CDS
Chr13,3808382,3808504,CDS
Chr13,3808960,3809031,CDS
Chr13,3809403,3809528,CDS
Chr13,3809657,3809788,CDS
Chr13,3810495,3810593,CDS
Chr13,413252,413299,CDS
Chr13,439253,439429,CDS
Chr13,439982,440086,CDS
Chr13,440302,440382,CDS
Chr13,440740,440838,CDS
Chr13,441357,441398,CDS
Chr13,441569,441844,CDS
Chr13,442389,442496,CDS
Chr13,446557,446670,CDS
Chr13,447137,447208,CDS
Chr13,447593,447829,CDS
Chr13,447999,448121,CDS
Chr13,10022447,10022512,CDS
Chr13,9910771,9910848,CDS
Chr13,149921,150166,CDS
Chr13,3341916,3342833,CDS
Chr13,5593271,5593321,CDS
Chr13,5647180,5647368,CDS
Chr13,9275202,9276632,CDS
Chr13,298512,298856,CDS
Chr13,10062974,10064626,CDS
Chr13,8777335,8777628,CDS
Chr13,13588599,13588652,CDS
Chr13,13652486,13652785,CDS
Chr13,13656630,13657202,CDS
Chr13,162738,162788,CDS
Chr13,72859,72984,CDS
Chr13,71111,71521,CDS
Chr13,6995255,6995398,CDS
Chr13,6994852,6994989,CDS
Chr13,6993911,6994057,CDS
Chr13,6992851,6992949,CDS
Chr13,6992506,6992598,CDS
Chr13,6992264,6992323,CDS
Chr13,6991315,6991533,CDS
Chr13,6990084,6990374,CDS
Chr13,1391059,1391157,CDS
Chr13,1383810,1383935,CDS
Chr13,1381954,1382058,CDS
Chr13,7367029,7367121,CDS
Chr13,7466303,7466509,CDS
Chr13,4851179,4851223,CDS
Chr13,4852381,4852524,CDS
Chr13,4853472,4853576,CDS
Chr13,4854784,4854999,CDS
Chr13,4855761,4855979,CDS
Chr13,4856747,4856896,CDS
Chr13,4858382,4858507,CDS
Chr13,4858695,4858871,CDS
Chr13,4859050,4859217,CDS
Chr13,4859662,4859844,CDS
Chr13,4865266,4865478,CDS
Chr13,4867281,4867553,CDS
Chr13,4867970,4868170,CDS
Chr13,4868300,4868428,CDS
Chr13,4869093,4869191,CDS
Chr13,4870163,4870312,CDS
Chr13,4870500,4870673,CDS
Chr13,4871109,4871261,CDS
Chr13,4871580,4871777,CDS
Chr13,4872039,4872143,CDS
Chr13,1620315,1620380,CDS
Chr13,1697616,1697669,CDS
Chr13,1815580,1815705,CDS
Chr13,10032145,10033545,CDS
Chr13,9913260,9913310,CDS
Chr13,1910673,1910780,CDS
Chr13,1842451,1842534,CDS
Chr13,2612282,2613289,CDS
Chr13,5352580,5352744,CDS
Chr13,5224329,5224553,CDS
Chr13,5187660,5187707,CDS
Chr13,9436229,9436360,CDS
Chr13,9438283,9438774,CDS
Chr13,11812734,11813531,CDS
Chr13,3577536,3577721,CDS
Chr13,3575928,3576197,CDS
Chr13,14805957,14806007,CDS
Chr13,14933021,14933287,CDS
Chr13,12757066,12757101,CDS
Chr13,12655279,12655506,CDS
Chr13,12646543,12646593,CDS
Chr13,5391291,5391797,CDS
Chr13,11359848,11360255,CDS
Chr13,4603625,4603741,CDS
Chr13,4563417,4563569,CDS
Chr13,4503458,4503580,CDS
Chr13,14178770,14178799,CDS
Chr13,14112644,14113411,CDS
Chr13,4660067,4661365,CDS
Chr13,16626716,16627279,CDS
Chr13,6827994,6828080,CDS
Chr13,6842654,6842812,CDS
Chr13,12001196,12001735,CDS
Chr13,1454296,1454520,CDS
Chr13,1469435,1469578,CDS
Chr13,13890522,13890554,CDS
Chr13,13937820,13938194,CDS
Chr13,13956920,13956985,CDS
Chr13,9249212,9250141,CDS
Chr13,12724928,12726466,CDS
Chr13,12737986,12738222,CDS
Chr13,5196519,5196557,CDS
Chr13,5073339,5073485,CDS
Chr13,10717016,10717207,CDS
Chr13,10715948,10716415,CDS
Chr13,10714998,10715177,CDS
Chr13,10714326,10714457,CDS
Chr13,10708167,10708256,CDS
Chr13,10706565,10706696,CDS
Chr13,10706234,10706359,CDS
Chr13,10704908,10705012,CDS
Chr13,10703863,10703976,CDS
Chr13,10702764,10702850,CDS
Chr13,10702513,10702611,CDS
Chr13,10700040,10700198,CDS
Chr13,10699208,10699318,CDS
Chr13,10698689,10698784,CDS
Chr13,10776221,10777219,CDS
Chr13,1087099,1087236,CDS
Chr13,9024046,9024147,CDS
Chr13,8951030,8951080,CDS
Chr13,5419310,5419651,CDS
Chr13,5419775,5419882,CDS
Chr13,5419990,5420040,CDS
Chr13,10782117,10783331,CDS
Chr13,12205134,12206354,CDS
Chr13,14075472,14075570,CDS
Chr13,13976756,13976908,CDS
Chr13,9654811,9656547,CDS
Chr13,9654054,9654137,CDS
Chr13,9652997,9653083,CDS
Chr13,9651954,9652034,CDS
Chr13,10115988,10117733,CDS
Chr13,10046598,10046651,CDS
Chr13,9211198,9212727,CDS
Chr13,658861,658968,CDS
Chr13,767665,767694,CDS
Chr13,9985260,9985292,CDS
Chr13,9874492,9874740,CDS
Chr13,11709575,11710774,CDS
Chr13,5216795,5216863,CDS
Chr13,5148308,5149144,CDS
Chr13,5111677,5111709,CDS
Chr13,11303448,11303501,CDS
Chr13,11300783,11300848,CDS
Chr13,11300296,11300403,CDS
Chr13,11298737,11298793,CDS
